time,A_pv_MW,A_consumed_MW,A_load_MW,B_pv_MW,B_consumed_MW,B_load_MW,C_pv_MW,C_consumed_MW,C_load_MW,D_pv_MW,D_consumed_MW,D_load_MW,E_pv_MW,E_consumed_MW,E_load_MW,F_pv_MW,F_consumed_MW,F_load_MW
2023-01-01 00:00:00,0,0,0.21269,0.0,0.0,1.34168,0.0,0.0,0.14462999999999998,0.0,0.0,0.24114000000000002,0.0,0.0,0.50346,0.0,0.0,0.26735000000000003
2023-01-01 01:00:00,0,0,0.22080000000000002,0.0,0.0,1.40604,0.0,0.0,0.143565,0.0,0.0,0.24378,0.0,0.0,0.52275,0.0,0.0,0.29163
2023-01-01 02:00:00,0,0,0.22635000000000002,0.0,0.0,1.366,0.0,0.0,0.148005,0.0,0.0,0.24746999999999997,0.0,0.0,0.5535599999999999,0.0,0.0,0.32314000000000004
2023-01-01 03:00:00,0,0,0.23912,0.0,0.0,1.3392,0.0,0.0,0.150975,0.0,0.0,0.25727999999999995,0.0,0.0,0.5856,0.0,0.0,0.35663
2023-01-01 04:00:00,0,0,0.26854,0.0,0.0,1.36298,0.0,0.0,0.16568999999999998,0.0,0.0,0.2856,0.0,0.0,0.64974,0.0,0.0,0.37084
2023-01-01 05:00:00,0,0,0.31355,0.0,0.0,1.33492,0.0,0.0,0.18490499999999999,0.0,0.0,0.3303,0.0,0.0,0.73881,0.0,0.0,0.41735999999999995
2023-01-01 06:00:00,0,0,0.33216999999999997,0.04028254140476189,0.04028254140476189,1.34752,0.020141270702380944,0.020141270702380944,0.196605,0.020141270702380944,0.020141270702380944,0.35420999999999997,0.04028254140476189,0.04028254140476189,0.7862399999999999,0.020141270702380944,0.020141270702380944,0.45347
2023-01-01 07:00:00,0,0,0.31535,0.22276031400000001,0.22276031400000001,1.4511,0.11138015700000001,0.11138015700000001,0.18941999999999998,0.11138015700000001,0.11138015700000001,0.33699,0.22276031400000001,0.22276031400000001,0.75561,0.11138015700000001,0.11138015700000001,0.49692000000000003
2023-01-01 08:00:00,0,0,0.29887,0.6095539672142857,0.6095539672142857,1.4927800000000002,0.30477698360714284,0.18099172386398804,0.184695,0.30477698360714284,0.30477698360714284,0.3237,0.6095539672142857,0.6095539672142857,0.7267199999999999,0.30477698360714284,0.30477698360714284,0.51233
2023-01-01 09:00:00,0,0,0.3305,0.799779409452381,0.799779409452381,1.4708599999999998,0.3998897047261905,0.20723616858901364,0.210915,0.3998897047261905,0.3550177675109993,0.36132000000000003,0.799779409452381,0.7885615506853415,0.80256,0.3998897047261905,0.3998897047261905,0.51948
2023-01-01 10:00:00,0,0,0.38665,1.0484269914285718,1.0484269914285718,1.43022,0.5242134957142859,0.2496702472082192,0.25425,0.5242134957142859,0.4225098153935433,0.43026,1.0484269914285718,0.940881221868567,0.95814,0.5242134957142859,0.5242134957142859,0.53457
2023-01-01 11:00:00,0,0,0.40813,1.0567619005714286,1.0567619005714286,1.3978400000000002,0.5283809502857143,0.2672448358357402,0.272055,0.5283809502857143,0.46600238066610344,0.47438999999999987,1.0567619005714286,1.024745512104118,1.0431899999999998,0.5283809502857143,0.5283809502857143,0.54572
2023-01-01 12:00:00,0,0,0.38739,1.119471436452381,1.119471436452381,1.4974,0.5597357182261905,0.23769552336184482,0.24243,0.5597357182261905,0.4246516855308691,0.43311,1.119471436452381,0.8933068982179467,0.9111,0.5597357182261905,0.5462692770740084,0.55715
2023-01-01 13:00:00,0,0,0.41197999999999996,0.7414047605,0.7414047605,1.47484,0.37070238025,0.2564901700888747,0.261555,0.37070238025,0.37070238025,0.4611599999999999,0.7414047605,0.7414047605,1.008,0.37070238025,0.37070238025,0.55604
2023-01-01 14:00:00,0,0,0.47476999999999997,0.5760698318809523,0.5760698318809523,1.54646,0.28803491594047614,0.28803491594047614,0.30413999999999997,0.28803491594047614,0.28803491594047614,0.5158499999999999,0.5760698318809523,0.5760698318809523,1.20852,0.28803491594047614,0.28803491594047614,0.5995799999999999
2023-01-01 15:00:00,0,0,0.50307,0.5482777811190476,0.5482777811190476,1.4621000000000002,0.2741388905595238,0.2741388905595238,0.32754,0.2741388905595238,0.2741388905595238,0.5435999999999999,0.5482777811190476,0.5482777811190476,1.31514,0.2741388905595238,0.2741388905595238,0.6457200000000001
2023-01-01 16:00:00,0,0,0.47248,0.6424412614047619,0.6424412614047619,1.4604000000000001,0.32122063070238094,0.3104589192721524,0.31866,0.32122063070238094,0.32122063070238094,0.52167,0.6424412614047619,0.6424412614047619,1.26429,0.32122063070238094,0.32122063070238094,0.73601
2023-01-01 17:00:00,0,0,0.44087000000000004,0.36488412676190485,0.36488412676190485,1.43726,0.18244206338095242,0.18244206338095242,0.31340999999999997,0.18244206338095242,0.18244206338095242,0.49821000000000004,0.36488412676190485,0.36488412676190485,1.2198,0.18244206338095242,0.18244206338095242,0.75088
2023-01-01 18:00:00,0,0,0.44818,0.1333873027142857,0.1333873027142857,1.4631800000000001,0.06669365135714285,0.06669365135714285,0.32004,0.06669365135714285,0.06669365135714285,0.52659,0.1333873027142857,0.1333873027142857,1.2238200000000001,0.06669365135714285,0.06669365135714285,0.7407499999999999
2023-01-01 19:00:00,0,0,0.47173999999999994,0.010784125595238087,0.010784125595238087,1.54178,0.005392062797619043,0.005392062797619043,0.335565,0.005392062797619043,0.005392062797619043,0.56961,0.010784125595238087,0.010784125595238087,1.2851099999999998,0.005392062797619043,0.005392062797619043,0.7460899999999999
