time,P_MW,Q_MVAr,S_MVA,U_avg_pu,U_min_pu,U_max_pu,max_line_loading_pct,voltage_deviation_pct,losses_MW,loss_rate_pct,PV_gen_MW,PV_consumed_MW
2023-01-01 00:00:00,2.710949999999999,1.45856,3.078416342228581,0.9610046750592546,0.9295806292972127,1.0,0.0001467146372361,3.8995324940745215,0.1145316499612263,4.224779135034816,0.0,0.0
2023-01-01 01:00:00,2.8285649999999998,1.5152449999999997,3.208854526034173,0.9590141974921313,0.9262270870470192,1.0,0.0001533234757126,4.098580250786863,0.1265758559782593,4.474914169490866,0.0,0.0
2023-01-01 02:00:00,2.8645250000000004,1.5493000000000001,3.2566599401265406,0.9586603338066518,0.9261078957271152,1.0,0.0001555948306356,4.133966619334822,0.1283318262370111,4.4800386185148,0.0,0.0
2023-01-01 03:00:00,2.9288049999999997,1.5930700000000002,3.334032206341894,0.958044493676902,0.9256179606485164,1.0,0.0001593149530305,4.1955506323098,0.1319266573626053,4.50445343280298,0.0,0.0
2023-01-01 04:00:00,3.10339,1.6749150000000004,3.526523748583724,0.9559854343052898,0.9213460285331424,1.0,0.0001687763363128,4.401456569471045,0.144427610277403,4.653865942643464,0.0,0.0
2023-01-01 05:00:00,3.319845,1.7990000000000004,3.775946480556233,0.9535741010500699,0.9166646670431828,1.0,0.0001809682999368,4.642589894992994,0.1594082396399777,4.801677175891577,0.0,0.0
2023-01-01 06:00:00,3.470215,1.888925,3.9510036448793615,0.9532391591189809,0.9167782370551564,1.0,0.0001834571503011,4.6760840881019154,0.1614691032611031,4.6529999801482935,0.1409888949166666,0.1409888949166666
2023-01-01 07:00:00,3.5453900000000007,1.9141849999999998,4.029130733337528,0.9595132025639747,0.932676813044502,1.0,0.0001603634794479,4.048679743602512,0.1260535114516221,3.5554201780797623,0.779661099,0.779661099
2023-01-01 08:00:00,3.539095,1.9349750000000003,4.033524720346957,0.9756069078535403,0.957493119956979,1.0,0.0001128105440128,2.439309214645965,0.070961563965344,2.005076551077154,2.13343888525,2.13343888525
2023-01-01 09:00:00,3.6956349999999993,2.0142200000000003,4.208895373090782,0.9820261931571371,0.9650929394316222,1.0,0.0001036556589372,1.7973806842862754,0.064460176476498,1.744224645466828,2.7992279330833334,2.7992279330833334
2023-01-01 10:00:00,3.99409,2.18135,4.550938666978495,0.9894003241335678,0.9740603552217012,1.000482043362113,0.0001034170810169,1.0642557412319382,0.0719447190879988,1.8012793674654002,3.669494470000001,3.669494470000001
2023-01-01 11:00:00,4.141325,2.2624100000000005,4.719011735917278,0.9886025005885768,0.9735083754463224,1.0,0.0001081359231471,1.1397499411423395,0.0732221540039811,1.7680851902224797,3.698666652,3.698666652
2023-01-01 12:00:00,4.02858,2.2146300000000005,4.5971777052121885,0.9910109595445847,0.975693801395646,1.003717188522533,0.0001039284376453,0.948149940588846,0.0786751552816863,1.9529252312647707,3.9181500275833336,3.9181500275833336
2023-01-01 13:00:00,4.173574999999999,2.289305,4.760214875785545,0.9747938079070622,0.9577015374577952,1.0,0.0001310054444837,2.5206192092937787,0.0808183651481513,1.9364301623464613,2.59491666175,2.59491666175
2023-01-01 14:00:00,4.649320000000001,2.5078150000000003,5.282547920901902,0.9625685095478789,0.9418620133562212,1.0,0.000172544100424,3.7431490452121303,0.1237227633900057,2.6610937382242064,2.016244411583333,2.016244411583333
2023-01-01 15:00:00,4.7971699999999995,2.59386,5.45352635535027,0.9601731592466475,0.9374229889926492,1.0,0.0001840849291963,3.982684075335248,0.1359567275258043,2.834102763208398,1.9189722339166664,1.9189722339166664
2023-01-01 16:00:00,4.773510000000001,2.563195,5.418151560091782,0.9636560437190277,0.9415391412445014,1.0,0.0001707026459306,3.634395628097224,0.1228517569358803,2.573614739172648,2.2485444149166667,2.2485444149166667
2023-01-01 17:00:00,4.66043,2.5069399999999997,5.29191420456719,0.9520326663474725,0.9208687083923238,1.0,0.0002017769944577,4.796733365252763,0.1773636011158462,3.8057346879117637,1.277094443666667,1.277094443666667
2023-01-01 18:00:00,4.7225600000000005,2.53064,5.357864477868025,0.9399463781601498,0.8931238757386375,1.0,0.0002402815989298,6.005362183985007,0.2633597677170723,5.576631482015523,0.4668555594999999,0.4668555594999999
2023-01-01 19:00:00,4.949895000000001,2.624265,5.602519727876913,0.9308247817354259,0.8725476891203847,1.0,0.0002730088128224,6.917521826457418,0.3468783536884234,7.007792158993744,0.0377444395833333,0.0377444395833333
2023-01-01 20:00:00,4.861305,2.5737650000000003,5.500595656676648,0.9327050475764314,0.8743841342442412,1.0,0.0002688333394952,6.729495242356862,0.3279086222931949,6.745279761158679,0.0,0.0
2023-01-01 21:00:00,4.46575,2.3707349999999994,5.0560169602885034,0.9385733062557662,0.8880008553938022,1.0,0.0002456769515402,6.14266937442339,0.2755151170003867,6.169515019882142,0.0,0.0
2023-01-01 22:00:00,3.7305049999999986,1.9950100000000002,4.230452984625286,0.9490741429557855,0.9078782715667388,1.0,0.0002034618253645,5.092585704421433,0.191791013328831,5.141154168908259,0.0,0.0
2023-01-01 23:00:00,2.7644550000000003,1.473435,3.132606286504897,0.9609966509814033,0.9301349372949208,1.0,0.0001492236952506,3.9003349018596727,0.1153278791892927,4.171812497917046,0.0,0.0
